"pilot_id","micro_review_id","workflow_id","item_id","candidate_id","item_category","original_item_text","proposed_source_id","evidence_section_id","evidence_heading","evidence_locator","evidence_summary","support_classification","uae_applicability","safety_review_required","clinician_decision","revised_item_wording","clinician_comment","source_recheck_required","safety_escalation_required","reviewer_name","reviewer_professional_role","reviewer_registration_or_licence_identifier","review_date","decision_status","schema_version"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--workflow-presentation--chief-complaint","cand-f16f98706ea09c498373aa52","workflow_identity","Chest pain","dha-telehealth-chest-pain-v2-2024","dha-chest-pain-v2-history","5. History Taking/Symptoms","pages 8–10","Specifies onset, site, character, radiation, severity, exertional and relieving factors, associated symptoms, duration, trauma, travel, and prior testing.","partial_support","uae_specific: Verified for Dubai and DHA-licensed telehealth only; broader UAE applicability is not asserted.","false","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--legacy-diagnosis-label--diagnosis","","workflow_identity","GERD / reflux","","","","","","unsupported","partial_applicability","true","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--matching-alias--alias-1","cand-b8cd85dae94eb5e58e92e61f","aliases_and_matching_terms","Chest pain","dha-telehealth-chest-pain-v2-2024","dha-chest-pain-v2-history","5. History Taking/Symptoms","pages 8–10","Specifies onset, site, character, radiation, severity, exertional and relieving factors, associated symptoms, duration, trauma, travel, and prior testing.","partial_support","uae_specific: Verified for Dubai and DHA-licensed telehealth only; broader UAE applicability is not asserted.","false","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--matching-alias--alias-2","cand-10ab87e0639baa54655b5f6e","aliases_and_matching_terms","chest discomfort","dha-telehealth-chest-pain-v2-2024","dha-chest-pain-v2-history","5. History Taking/Symptoms","pages 8–10","Specifies onset, site, character, radiation, severity, exertional and relieving factors, associated symptoms, duration, trauma, travel, and prior testing.","partial_support","uae_specific: Verified for Dubai and DHA-licensed telehealth only; broader UAE applicability is not asserted.","false","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--matching-alias--alias-3","cand-34cb168776c82bc31c2bab75","aliases_and_matching_terms","heartburn","dha-telehealth-chest-pain-v2-2024","dha-chest-pain-v2-history","5. History Taking/Symptoms","pages 8–10","Specifies onset, site, character, radiation, severity, exertional and relieving factors, associated symptoms, duration, trauma, travel, and prior testing.","partial_support","uae_specific: Verified for Dubai and DHA-licensed telehealth only; broader UAE applicability is not asserted.","false","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--matching-alias--alias-4","cand-2c3406a251237024a3ef8311","aliases_and_matching_terms","retrosternal pain","dha-telehealth-chest-pain-v2-2024","dha-chest-pain-v2-history","5. History Taking/Symptoms","pages 8–10","Specifies onset, site, character, radiation, severity, exertional and relieving factors, associated symptoms, duration, trauma, travel, and prior testing.","partial_support","uae_specific: Verified for Dubai and DHA-licensed telehealth only; broader UAE applicability is not asserted.","false","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--matching-alias--alias-5","cand-daed5979d1c326be2a88fa83","aliases_and_matching_terms","burning chest","dha-telehealth-chest-pain-v2-2024","dha-chest-pain-v2-history","5. History Taking/Symptoms","pages 8–10","Specifies onset, site, character, radiation, severity, exertional and relieving factors, associated symptoms, duration, trauma, travel, and prior testing.","partial_support","uae_specific: Verified for Dubai and DHA-licensed telehealth only; broader UAE applicability is not asserted.","false","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--matching-alias--alias-6","","aliases_and_matching_terms","GERD / Reflux","","","","","","unsupported","partial_applicability","false","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--matching-alias--alias-7","","aliases_and_matching_terms","gastroesophageal reflux","","","","","","unsupported","partial_applicability","false","","","","","","","","","","pending_clinician_review","1.0.0"
"clinician-review-item-mapping-pilot-001","micro-review-001","gp-chest-pain","gp-chest-pain--matching-alias--alias-8","","aliases_and_matching_terms","acid reflux","","","","","","unsupported","partial_applicability","false","","","","","","","","","","pending_clinician_review","1.0.0"
